File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Shirke\PycharmProjects\Project\Proxy\static\css\form.css,167,136,116,0,31,1,0,2,0,0
C:\Users\Shirke\PycharmProjects\Project\Proxy\static\css\style.css,372,257,206,0,112,0,3,14,0,0
