Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,27,1573,1274,65,122,299,0,0,0,0,0
C:\Users\Shirke\PycharmProjects\Project\Proxy\create_proxy,27,1573,1274,65,122,299,0,0,0,0,0
C:\Users\Shirke\PycharmProjects\Project\Proxy\create_proxy\migrations,13,380,301,8,0,79,0,0,0,0,0
C:\Users\Shirke\PycharmProjects\Project\Proxy\create_proxy\tests,4,373,291,15,0,82,0,0,0,0,0
