File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\Shirke\PycharmProjects\Project\Proxy\create_proxy\views.py,JobPost.objects.filter(job_title__icontains = search ),1,1,1,0,0,0,0,0,
C:\Users\Shirke\PycharmProjects\Project\Proxy\create_proxy\views.py,Count('id'),1,1,1,0,0,0,0,0,
